Email Address,First Name,Last Name,Address,Phone Number,REGION
joemcmillan85@yahoo.com,Joe,McMillan,,,
JOEMCMILLAN85@yahoo.com,Joe,McMillan,,,
hadi_7870@yahoo.com,,,,,
hadi-7870@yahoo.com,,,,,
crtombers@yahool.com,,,,,
ethany@yahoo-inc.com,Ethan,Yang,,,
nestedbeadsofpath@yahooinc.solutions,Jamal,Anderson,,,
dinyakouravand/@yahoo.com,,,,,
mailto:sophiechan1@yahoo.com,Sophie,,,,
  spaced.out@gmail.com  ,Spa,Ced,,,
info@acmelaw.ca,,,,,
sales@bigcorp.com,,,,,
jane.doe@torontolawfirm.ca,Jane,Doe,,,
partner@smithlegal.org,,,,,
research@uoft.edu,,,,,
clerk@ontario.gov,,,,,
throwaway1@mailinator.com,,,,,
notanemail,,,,,
@nolocal.com,,,,,
bob@,,,,,
"quoted@example.com",Bob,Q,,,
maria@techstartup.io,Maria,,,,
duco@company.co.uk,,,,,
duplicate@gmail.com,,,,,
duplicate@gmail.com,,,,,
